            # x            Gamma(x)
      -2.829665           -1.266420
      -2.825163           -1.243765
      -2.820660           -1.222404
      -2.816158           -1.202247
      -2.811656           -1.183208
      -2.807154           -1.165214
      -2.802651           -1.148194
      -2.798149           -1.132087
      -2.793647           -1.116835
      -2.789145           -1.102388
      -2.784642           -1.088696
      -2.780140           -1.075716
      -2.775638           -1.063409
      -2.771136           -1.051737
      -2.766633           -1.040667
      -2.762131           -1.030168
      -2.757629           -1.020210
      -2.753127           -1.010766
      -2.748624           -1.001813
      -2.744122           -0.993327
      -2.739620           -0.985286
      -2.735118           -0.977672
      -2.730615           -0.970466
      -2.726113           -0.963651
      -2.721611           -0.957211
      -2.717109           -0.951131
      -2.712606           -0.945398
      -2.708104           -0.939998
      -2.703602           -0.934921
      -2.699100           -0.930154
      -2.694597           -0.925687
      -2.690095           -0.921511
      -2.685593           -0.917616
      -2.681091           -0.913994
      -2.676588           -0.910638
      -2.672086           -0.907539
      -2.667584           -0.904692
      -2.663082           -0.902089
      -2.658579           -0.899724
      -2.654077           -0.897593
      -2.649575           -0.895690
      -2.645073           -0.894010
      -2.640570           -0.892550
      -2.636068           -0.891304
      -2.631566           -0.890269
      -2.627064           -0.889441
      -2.622561           -0.888819
      -2.618059           -0.888397
      -2.613557           -0.888175
      -2.609055           -0.888150
      -2.604552           -0.888319
      -2.600050           -0.888681
      -2.595548           -0.889233
      -2.591046           -0.889976
      -2.586543           -0.890907
      -2.582041           -0.892026
      -2.577539           -0.893331
      -2.573037           -0.894822
      -2.568534           -0.896499
      -2.564032           -0.898362
      -2.559530           -0.900410
      -2.555028           -0.902644
      -2.550525           -0.905064
      -2.546023           -0.907671
      -2.541521           -0.910465
      -2.537019           -0.913448
      -2.532516           -0.916621
      -2.528014           -0.919984
      -2.523512           -0.923540
      -2.519010           -0.927290
      -2.514507           -0.931235
      -2.510005           -0.935379
      -2.505503           -0.939723
      -2.501001           -0.944270
      -2.496498           -0.949023
      -2.491996           -0.953984
      -2.487494           -0.959156
      -2.482991           -0.964544
      -2.478489           -0.970149
      -2.473987           -0.975977
      -2.469485           -0.982031
      -2.464982           -0.988315
      -2.460480           -0.994834
      -2.455978           -1.001593
      -2.451476           -1.008597
      -2.446973           -1.015850
      -2.442471           -1.023360
      -2.437969           -1.031131
      -2.433467           -1.039170
      -2.428964           -1.047483
      -2.424462           -1.056078
      -2.419960           -1.064961
      -2.415458           -1.074141
      -2.410955           -1.083626
      -2.406453           -1.093423
      -2.401951           -1.103543
      -2.397449           -1.113993
      -2.392946           -1.124785
      -2.388444           -1.135929
      -2.383942           -1.147435
      -2.379440           -1.159316
      -2.374937           -1.171582
      -2.370435           -1.184248
      -2.365933           -1.197327
      -2.361431           -1.210832
      -2.356928           -1.224779
      -2.352426           -1.239184
      -2.347924           -1.254063
      -2.343422           -1.269433
      -2.338919           -1.285314
      -2.334417           -1.301724
      -2.329915           -1.318686
      -2.325413           -1.336219
      -2.320910           -1.354348
      -2.316408           -1.373098
      -2.311906           -1.392493
      -2.307404           -1.412562
      -2.302901           -1.433334
      -2.298399           -1.454840
      -2.293897           -1.477113
      -2.289395           -1.500187
      -2.284892           -1.524101
      -2.280390           -1.548895
      -2.275888           -1.574609
      -2.271386           -1.601290
      -2.266883           -1.628986
      -2.262381           -1.657750
      -2.257879           -1.687635
      -2.253377           -1.718701
      -2.248874           -1.751013
      -2.244372           -1.784639
      -2.239870           -1.819651
      -2.235368           -1.856130
      -2.230865           -1.894161
      -2.226363           -1.933836
      -2.221861           -1.975255
      -2.217359           -2.018526
      -2.212856           -2.063767
      -2.208354           -2.111105
      -2.203852           -2.160678
      -2.199350           -2.212640
      -2.194847           -2.267154
      -2.190345           -2.324402
      -2.185843           -2.384583
      -2.181341           -2.447916
      -2.176838           -2.514641
      -2.172336           -2.585025
      -2.167834           -2.659361
      -2.163332           -2.737979
      -2.158829           -2.821241
      -2.154327           -2.909555
      -2.149825           -3.003377
      -2.145323           -3.103219
      -2.140820           -3.209660
      -2.136318           -3.323354
      -2.131816           -3.445045
      -2.127314           -3.575583
      -2.122811           -3.715942
      -2.118309           -3.867243
      -2.113807           -4.030788
